Model directory: /root/../pvcvolume/idm_attacker/
INFO:__main__:Starting PPO training...
INFO:__main__:Environment: idm, Workers: 4, Total Timesteps: 1000000
INFO:__main__:Hyperparameters: gamma=0.9, lambda=0.9, clip_eps=0.2, lr=0.0003
INFO:__main__:Batch Size (Workers * Steps): 1024
INFO:__main__:Total PPO Updates: 976
INFO:__main__:Update: 78/976, Timesteps: 79872/1000000, FPS: 53, Episodes: 1046, Avg Reward (Last 100): 0.20, Avg Length (Last 100): 62.22
INFO:__main__:Update: 79/976, Timesteps: 80896/1000000, FPS: 53, Episodes: 1059, Avg Reward (Last 100): 0.26, Avg Length (Last 100): 61.62
INFO:__main__:Update: 80/976, Timesteps: 81920/1000000, FPS: 53, Episodes: 1070, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 60.42
INFO:__main__:Update: 81/976, Timesteps: 82944/1000000, FPS: 51, Episodes: 1087, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 58.34
INFO:__main__:Update: 82/976, Timesteps: 83968/1000000, FPS: 53, Episodes: 1102, Avg Reward (Last 100): 0.47, Avg Length (Last 100): 58.20
INFO:__main__:Update: 83/976, Timesteps: 84992/1000000, FPS: 54, Episodes: 1117, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 58.97
INFO:__main__:Update: 84/976, Timesteps: 86016/1000000, FPS: 53, Episodes: 1127, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 58.99
INFO:__main__:Update: 85/976, Timesteps: 87040/1000000, FPS: 57, Episodes: 1132, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 59.72
INFO:__main__:Update: 86/976, Timesteps: 88064/1000000, FPS: 54, Episodes: 1141, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 59.97
INFO:__main__:Update: 87/976, Timesteps: 89088/1000000, FPS: 51, Episodes: 1158, Avg Reward (Last 100): 0.50, Avg Length (Last 100): 59.05
INFO:__main__:Update: 88/976, Timesteps: 90112/1000000, FPS: 54, Episodes: 1170, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 60.22
INFO:__main__:Update: 89/976, Timesteps: 91136/1000000, FPS: 51, Episodes: 1179, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 59.85
INFO:__main__:Update: 90/976, Timesteps: 92160/1000000, FPS: 57, Episodes: 1188, Avg Reward (Last 100): 0.38, Avg Length (Last 100): 60.39
INFO:__main__:Update: 91/976, Timesteps: 93184/1000000, FPS: 52, Episodes: 1200, Avg Reward (Last 100): 0.50, Avg Length (Last 100): 59.83
INFO:__main__:Update: 92/976, Timesteps: 94208/1000000, FPS: 51, Episodes: 1213, Avg Reward (Last 100): 0.59, Avg Length (Last 100): 58.79
INFO:__main__:Update: 93/976, Timesteps: 95232/1000000, FPS: 51, Episodes: 1227, Avg Reward (Last 100): 0.68, Avg Length (Last 100): 58.85
INFO:__main__:Update: 94/976, Timesteps: 96256/1000000, FPS: 51, Episodes: 1237, Avg Reward (Last 100): 0.74, Avg Length (Last 100): 58.78
INFO:__main__:Update: 95/976, Timesteps: 97280/1000000, FPS: 53, Episodes: 1253, Avg Reward (Last 100): 0.71, Avg Length (Last 100): 59.32
INFO:__main__:Update: 96/976, Timesteps: 98304/1000000, FPS: 53, Episodes: 1264, Avg Reward (Last 100): 0.65, Avg Length (Last 100): 59.74
INFO:__main__:Update: 97/976, Timesteps: 99328/1000000, FPS: 53, Episodes: 1275, Avg Reward (Last 100): 0.80, Avg Length (Last 100): 59.60
INFO:__main__:Update: 98/976, Timesteps: 100352/1000000, FPS: 53, Episodes: 1289, Avg Reward (Last 100): 0.65, Avg Length (Last 100): 61.39
INFO:__main__:Update: 99/976, Timesteps: 101376/1000000, FPS: 56, Episodes: 1295, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 61.59
INFO:__main__:Update: 100/976, Timesteps: 102400/1000000, FPS: 52, Episodes: 1307, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 62.85
INFO:__main__:Update: 101/976, Timesteps: 103424/1000000, FPS: 51, Episodes: 1320, Avg Reward (Last 100): 0.47, Avg Length (Last 100): 63.74
INFO:__main__:Update: 102/976, Timesteps: 104448/1000000, FPS: 52, Episodes: 1333, Avg Reward (Last 100): 0.59, Avg Length (Last 100): 62.95
INFO:__main__:Update: 103/976, Timesteps: 105472/1000000, FPS: 53, Episodes: 1337, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 62.01
INFO:__main__:Update: 104/976, Timesteps: 106496/1000000, FPS: 52, Episodes: 1343, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 61.41
INFO:__main__:Update: 105/976, Timesteps: 107520/1000000, FPS: 50, Episodes: 1354, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 60.77
INFO:__main__:Update: 106/976, Timesteps: 108544/1000000, FPS: 53, Episodes: 1366, Avg Reward (Last 100): 0.62, Avg Length (Last 100): 58.07
INFO:__main__:Update: 107/976, Timesteps: 109568/1000000, FPS: 54, Episodes: 1371, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 58.89
INFO:__main__:Update: 108/976, Timesteps: 110592/1000000, FPS: 53, Episodes: 1384, Avg Reward (Last 100): 0.56, Avg Length (Last 100): 57.48
INFO:__main__:Update: 109/976, Timesteps: 111616/1000000, FPS: 51, Episodes: 1399, Avg Reward (Last 100): 0.53, Avg Length (Last 100): 55.62
INFO:__main__:Update: 110/976, Timesteps: 112640/1000000, FPS: 55, Episodes: 1409, Avg Reward (Last 100): 0.44, Avg Length (Last 100): 55.07
INFO:__main__:Update: 111/976, Timesteps: 113664/1000000, FPS: 53, Episodes: 1423, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 53.87
INFO:__main__:Update: 112/976, Timesteps: 114688/1000000, FPS: 51, Episodes: 1442, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 53.79
INFO:__main__:Update: 113/976, Timesteps: 115712/1000000, FPS: 52, Episodes: 1456, Avg Reward (Last 100): 0.41, Avg Length (Last 100): 54.51
